Images,Age
imdb_wiki_1-15_scaled/nm0000103_rm2291256832_1974-5-21_1985.jpg,11
imdb_wiki_1-15_scaled/nm0000103_rm3273166336_1974-5-21_1985.jpg,11
imdb_wiki_1-15_scaled/nm0000103_rm3289943552_1974-5-21_1985.jpg,11
imdb_wiki_1-15_scaled/nm0000103_rm3340275200_1974-5-21_1985.jpg,11
imdb_wiki_1-15_scaled/nm0000103_rm4162358784_1974-5-21_1985.jpg,11
imdb_wiki_1-15_scaled/nm0000106_rm1518967040_1975-2-22_1982.jpg,7
imdb_wiki_1-15_scaled/nm0000106_rm2364048640_1975-2-22_1986.jpg,11
imdb_wiki_1-15_scaled/nm0000106_rm2385743360_1975-2-22_1982.jpg,7
imdb_wiki_1-15_scaled/nm0000106_rm251042560_1975-2-22_1982.jpg,7
imdb_wiki_1-15_scaled/nm0000106_rm3021649920_1975-2-22_1984.jpg,9
imdb_wiki_1-15_scaled/nm0000124_rm1810138368_1970-12-12_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000124_rm1826915584_1970-12-12_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000124_rm2547757824_1970-12-12_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000124_rm3605960960_1970-12-12_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000124_rm769045760_1970-12-12_1984.jpg,13
imdb_wiki_1-15_scaled/nm0000132_rm1816763136_1979-4-12_1993.jpg,14
imdb_wiki_1-15_scaled/nm0000132_rm1833540352_1979-4-12_1993.jpg,14
imdb_wiki_1-15_scaled/nm0000132_rm1850317568_1979-4-12_1993.jpg,14
imdb_wiki_1-15_scaled/nm0000132_rm2628360448_1979-4-12_1994.jpg,15
imdb_wiki_1-15_scaled/nm0000132_rm2661914880_1979-4-12_1994.jpg,15
imdb_wiki_1-15_scaled/nm0000143_rm200710912_1969-9-29_1982.jpg,12
imdb_wiki_1-15_scaled/nm0000143_rm217488128_1969-9-29_1982.jpg,12
imdb_wiki_1-15_scaled/nm0000149_rm1231403520_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm1264957952_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm1281735168_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm1298512384_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm2314711808_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm2331489024_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000149_rm4047162368_1962-11-19_1976.jpg,13
imdb_wiki_1-15_scaled/nm0000165_rm2843521280_1954-3-1_1963.jpg,9
imdb_wiki_1-15_scaled/nm0000192_rm3632056320_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm4051486720_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm4085041152_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm4135372800_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm511559680_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm662554624_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000192_rm880658432_1972-12-19_1984.jpg,11
imdb_wiki_1-15_scaled/nm0000203_rm2038019584_1970-8-23_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000203_rm3108155392_1970-8-23_1986.jpg,15
imdb_wiki_1-15_scaled/nm0000204_rm1785168896_1981-6-9_1994.jpg,13
imdb_wiki_1-15_scaled/nm0000204_rm2636487424_1981-6-9_1993.jpg,12
imdb_wiki_1-15_scaled/nm0000204_rm2653264640_1981-6-9_1993.jpg,12
imdb_wiki_1-15_scaled/nm0000204_rm2670041856_1981-6-9_1993.jpg,12
imdb_wiki_1-15_scaled/nm0000204_rm825202688_1981-6-9_1994.jpg,13
imdb_wiki_1-15_scaled/nm0000207_rm1379634688_1980-2-12_1995.jpg,15
imdb_wiki_1-15_scaled/nm0000207_rm1580961280_1980-2-12_1995.jpg,15
imdb_wiki_1-15_scaled/nm0000207_rm2705034752_1980-2-12_1995.jpg,15
imdb_wiki_1-15_scaled/nm0000207_rm2939915776_1980-2-12_1995.jpg,15
imdb_wiki_1-15_scaled/nm0000207_rm3207182848_1980-2-12_1990.jpg,10
imdb_wiki_1-15_scaled/nm0000207_rm764969984_1980-2-12_1993.jpg,13
imdb_wiki_1-15_scaled/nm0000208_rm1452722432_1968-2-18_1979.jpg,11
imdb_wiki_1-15_scaled/nm0000222_rm1060948992_1965-5-31_1978.jpg,13
imdb_wiki_1-15_scaled/nm0000222_rm2499064576_1965-5-31_1980.jpg,15
imdb_wiki_1-15_scaled/nm0000222_rm2515841792_1965-5-31_1980.jpg,15
imdb_wiki_1-15_scaled/nm0000222_rm893176832_1965-5-31_1978.jpg,13
imdb_wiki_1-15_scaled/nm0000233_rm176606976_1963-3-27_1964.jpg,1
imdb_wiki_1-15_scaled/nm0000233_rm243715840_1963-3-27_1964.jpg,1
imdb_wiki_1-15_scaled/nm0000233_rm25612032_1963-3-27_1964.jpg,1
imdb_wiki_1-15_scaled/nm0000234_rm3834223360_1975-8-7_1987.jpg,11
imdb_wiki_1-15_scaled/nm0000234_rm3851000576_1975-8-7_1987.jpg,11
imdb_wiki_1-15_scaled/nm0000255_rm4029852672_1972-8-15_1976.jpg,3
imdb_wiki_1-15_scaled/nm0000288_rm3900354560_1974-1-30_1987.jpg,13
imdb_wiki_1-15_scaled/nm0000288_rm3917131776_1974-1-30_1987.jpg,13
imdb_wiki_1-15_scaled/nm0000301_rm1025299968_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1193072128_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1327289856_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1344067072_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1427953152_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1444730368_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1495062016_1982-3-11_1991.jpg,9
imdb_wiki_1-15_scaled/nm0000301_rm1528616448_1982-3-11_1991.jpg,9
