Images,Age
imdb_wiki_>60_scaled/nm0000001_rm946909184_1899-5-10_1968.jpg,69
imdb_wiki_>60_scaled/nm0000001_rm980463616_1899-5-10_1968.jpg,69
imdb_wiki_>60_scaled/nm0000002_rm1346607872_1924-9-16_2004.jpg,79
imdb_wiki_>60_scaled/nm0000002_rm1363385088_1924-9-16_2004.jpg,79
imdb_wiki_>60_scaled/nm0000002_rm2287049216_1924-9-16_2007.jpg,82
imdb_wiki_>60_scaled/nm0000002_rm2585828096_1924-9-16_2006.jpg,81
imdb_wiki_>60_scaled/nm0000002_rm2769394176_1924-9-16_2006.jpg,81
imdb_wiki_>60_scaled/nm0000002_rm2780403712_1924-9-16_2004.jpg,79
imdb_wiki_>60_scaled/nm0000002_rm2983566080_1924-9-16_2007.jpg,82
imdb_wiki_>60_scaled/nm0000002_rm3453524224_1924-9-16_2007.jpg,82
imdb_wiki_>60_scaled/nm0000002_rm370988544_1924-9-16_1991.jpg,66
imdb_wiki_>60_scaled/nm0000002_rm3730086656_1924-9-16_2006.jpg,81
imdb_wiki_>60_scaled/nm0000002_rm3954154240_1924-9-16_2006.jpg,81
imdb_wiki_>60_scaled/nm0000002_rm4111175424_1924-9-16_2010.jpg,85
imdb_wiki_>60_scaled/nm0000002_rm4213815808_1924-9-16_1990.jpg,65
imdb_wiki_>60_scaled/nm0000002_rm505206272_1924-9-16_1991.jpg,66
imdb_wiki_>60_scaled/nm0000002_rm800626688_1924-9-16_2006.jpg,81
imdb_wiki_>60_scaled/nm0000002_rm81958912_1924-9-16_2005.jpg,80
imdb_wiki_>60_scaled/nm0000002_rm991745536_1924-9-16_1991.jpg,66
imdb_wiki_>60_scaled/nm0000005_rm1521844480_1918-7-14_2003.jpg,84
imdb_wiki_>60_scaled/nm0000005_rm2713819392_1918-7-14_2003.jpg,84
imdb_wiki_>60_scaled/nm0000005_rm2898368768_1918-7-14_2003.jpg,84
imdb_wiki_>60_scaled/nm0000008_rm2191825152_1924-4-3_1996.jpg,72
imdb_wiki_>60_scaled/nm0000008_rm2318828288_1924-4-3_2010.jpg,86
imdb_wiki_>60_scaled/nm0000008_rm2349567488_1924-4-3_1990.jpg,66
imdb_wiki_>60_scaled/nm0000008_rm2450230784_1924-4-3_1990.jpg,66
imdb_wiki_>60_scaled/nm0000008_rm2514467328_1924-4-3_1994.jpg,70
imdb_wiki_>60_scaled/nm0000008_rm2534116864_1924-4-3_1990.jpg,66
imdb_wiki_>60_scaled/nm0000008_rm4024416768_1924-4-3_1994.jpg,70
imdb_wiki_>60_scaled/nm0000008_rm4175344384_1924-4-3_1990.jpg,66
imdb_wiki_>60_scaled/nm0000008_rm790334976_1924-4-3_1996.jpg,72
imdb_wiki_>60_scaled/nm0000010_rm3776482816_1899-7-17_1981.jpg,81
imdb_wiki_>60_scaled/nm0000010_rm3821517568_1899-7-17_1961.jpg,61
imdb_wiki_>60_scaled/nm0000010_rm3877146112_1899-7-17_1981.jpg,81
imdb_wiki_>60_scaled/nm0000010_rm3972512512_1899-7-17_1961.jpg,61
imdb_wiki_>60_scaled/nm0000018_rm1329106432_1916-12-9_1994.jpg,77
