Epoch: 0	Prec@1 6.490	Prec@5 24.954
Epoch: 1	Prec@1 9.176	Prec@5 32.346
Epoch: 2	Prec@1 10.769	Prec@5 35.982
Epoch: 3	Prec@1 12.030	Prec@5 38.695
Epoch: 4	Prec@1 13.160	Prec@5 40.854
Epoch: 5	Prec@1 14.464	Prec@5 43.029
Epoch: 6	Prec@1 15.661	Prec@5 45.124
Epoch: 7	Prec@1 17.110	Prec@5 47.405
Epoch: 8	Prec@1 18.500	Prec@5 49.251
Epoch: 9	Prec@1 19.981	Prec@5 51.350
Epoch: 10	Prec@1 21.494	Prec@5 53.569
Epoch: 11	Prec@1 23.343	Prec@5 55.797
Epoch: 12	Prec@1 25.341	Prec@5 58.251
Epoch: 13	Prec@1 27.476	Prec@5 60.266
Epoch: 14	Prec@1 29.519	Prec@5 62.647
Epoch: 15	Prec@1 39.003	Prec@5 72.378
Epoch: 16	Prec@1 41.213	Prec@5 74.195
Epoch: 17	Prec@1 42.379	Prec@5 75.345
Epoch: 18	Prec@1 43.444	Prec@5 76.148
Epoch: 19	Prec@1 44.369	Prec@5 76.929
Epoch: 20	Prec@1 45.215	Prec@5 77.620
Epoch: 21	Prec@1 46.198	Prec@5 78.291
Epoch: 22	Prec@1 46.925	Prec@5 79.000
Epoch: 23	Prec@1 47.865	Prec@5 79.700
Epoch: 24	Prec@1 48.605	Prec@5 80.145
Epoch: 25	Prec@1 49.490	Prec@5 80.863
Epoch: 26	Prec@1 50.330	Prec@5 81.482
Epoch: 27	Prec@1 51.162	Prec@5 81.970
Epoch: 28	Prec@1 51.925	Prec@5 82.603
Epoch: 29	Prec@1 52.709	Prec@5 83.065
Epoch: 30	Prec@1 55.434	Prec@5 85.165
Epoch: 31	Prec@1 55.830	Prec@5 85.379
Epoch: 32	Prec@1 56.167	Prec@5 85.499
Epoch: 33	Prec@1 56.187	Prec@5 85.718
Epoch: 34	Prec@1 56.348	Prec@5 85.796
