Images,Age
augment/distort/002142.jpg,65
augment/skew_corner/001581.jpg,39
augment/skew_corner/004040.jpg,41
augment/train/001447.jpg,22
augment/distort/001931.jpg,47
augment/rotate90/000127.jpg,25
augment/shear/003085.jpg,34
augment/rotate90/000585.jpg,20
augment/skew_tilt/001627.jpg,41
augment/skew_corner/000366.jpg,22
augment/zoom/003206.jpg,2
augment/rotate/001070.jpg,24
augment/rotate90/003644.jpg,10
augment/skew_tb/001090.jpg,35
augment/zoom/000549.jpg,30
augment/rotate90/001593.jpg,19
augment/skew_corner/003115.jpg,4
augment/distort/000421.jpg,15
augment/rotate90/000026.jpg,27
augment/train/003003.jpg,17
augment/flip/002809.jpg,43
augment/distort/000608.jpg,28
augment/rotate/003162.jpg,61
augment/skew_tb/000977.jpg,3
augment/shear/000456.jpg,47
augment/skew_tilt/000952.jpg,23
augment/rotate/003233.jpg,5
augment/distort/002136.jpg,27
augment/train/001606.jpg,46
augment/shear/003195.jpg,33
augment/rotate90/000080.jpg,25
augment/skew_tilt/001099.jpg,3
augment/skew_tilt/003064.jpg,42
augment/flip/002619.jpg,43
augment/shear/000571.jpg,32
augment/rotate90/002924.jpg,49
augment/distort/000083.jpg,24
augment/skew_tb/000787.jpg,37
augment/rotate90/003467.jpg,6
augment/skew_tb/000166.jpg,25
augment/rotate/000323.jpg,2
augment/flip/000689.jpg,43
augment/distort/000913.jpg,10
augment/train/001616.jpg,29
augment/shear/000604.jpg,30
augment/flip/000177.jpg,25
augment/rotate/002803.jpg,23
augment/rotate90/000832.jpg,35
augment/train/001882.jpg,24
augment/rotate90/000793.jpg,23
augment/zoom/002059.jpg,33
augment/skew_tilt/002896.jpg,25
augment/distort/003676.jpg,22
augment/skew_corner/001003.jpg,42
augment/rotate90/002557.jpg,63
augment/rotate/002857.jpg,17
augment/distort/000620.jpg,39
augment/distort/000873.jpg,48
augment/skew_tb/001740.jpg,51
augment/zoom/002876.jpg,27
augment/skew_tb/000806.jpg,38
augment/rotate/002874.jpg,20
augment/rotate/002993.jpg,31
augment/zoom/002394.jpg,6
augment/distort/001881.jpg,37
augment/zoom/003309.jpg,24
augment/rotate90/000708.jpg,28
augment/zoom/000333.jpg,53
augment/skew_tilt/001226.jpg,7
augment/distort/002401.jpg,27
augment/flip/003624.jpg,52
augment/skew_tilt/002446.jpg,54
augment/train/000023.jpg,26
augment/distort/000391.jpg,14
augment/distort/000883.jpg,13
augment/train/001607.jpg,25
augment/flip/003234.jpg,46
augment/shear/003294.jpg,21
augment/skew_tilt/000072.jpg,25
augment/flip/003853.jpg,4
augment/skew_tilt/001731.jpg,33
augment/skew_tilt/001660.jpg,20
augment/skew_tilt/001534.jpg,39
augment/distort/002412.jpg,25
augment/distort/003137.jpg,2
augment/distort/001985.jpg,31
augment/flip/003510.jpg,32
augment/shear/003550.jpg,52
augment/rotate90/000745.jpg,47
augment/distort/000288.jpg,49
augment/flip/001133.jpg,63
augment/rotate/000613.jpg,68
augment/distort/000567.jpg,37
augment/skew_tilt/000096.jpg,44
augment/train/001567.jpg,19
augment/flip/001422.jpg,29
augment/skew_corner/003875.jpg,20
augment/rotate/004055.jpg,31
augment/flip/003277.jpg,23
augment/rotate/002675.jpg,18
augment/shear/002927.jpg,23
augment/shear/003266.jpg,27
augment/distort/002273.jpg,20
augment/zoom/000704.jpg,6
augment/skew_corner/001395.jpg,13
augment/skew_tb/000716.jpg,8
augment/train/002956.jpg,22
augment/skew_tb/001853.jpg,42
augment/skew_tilt/003530.jpg,26
augment/skew_corner/000158.jpg,1
augment/skew_corner/003103.jpg,21
augment/rotate90/000966.jpg,16
augment/rotate90/000111.jpg,46
augment/flip/002105.jpg,16
augment/skew_corner/001555.jpg,37
augment/shear/001480.jpg,15
augment/shear/000119.jpg,57
augment/zoom/000400.jpg,35
augment/skew_tb/000112.jpg,42
augment/skew_tb/000180.jpg,28
augment/shear/000565.jpg,15
augment/train/001891.jpg,19
augment/zoom/003160.jpg,17
augment/rotate90/001779.jpg,21
augment/rotate/000118.jpg,9
augment/distort/002532.jpg,24
augment/distort/001281.jpg,55
augment/zoom/002937.jpg,29
augment/zoom/000318.jpg,22
augment/skew_corner/000766.jpg,45
augment/flip/000043.jpg,36
augment/skew_tilt/000381.jpg,37
augment/zoom/001511.jpg,62
augment/flip/001978.jpg,21
augment/rotate90/000229.jpg,41
augment/skew_corner/003585.jpg,42
augment/skew_corner/000584.jpg,33
augment/train/003234.jpg,46
augment/rotate/001220.jpg,24
augment/rotate90/001468.jpg,32
augment/train/003265.jpg,27
augment/skew_corner/003971.jpg,27
augment/shear/001708.jpg,23
augment/skew_corner/003420.jpg,34
augment/train/000813.jpg,31
augment/skew_corner/001513.jpg,33
augment/shear/002145.jpg,27
augment/skew_corner/001020.jpg,34
augment/flip/000838.jpg,52
augment/skew_corner/000591.jpg,19
augment/rotate90/002710.jpg,37
augment/rotate90/001047.jpg,31
augment/train/001089.jpg,39
augment/train/000653.jpg,18
augment/rotate90/002509.jpg,2
augment/skew_corner/002605.jpg,32
augment/train/002610.jpg,19
augment/skew_corner/002910.jpg,7
augment/skew_tilt/001306.jpg,34
augment/distort/003282.jpg,16
augment/distort/003326.jpg,35
augment/rotate/001192.jpg,32
augment/distort/002285.jpg,47
augment/rotate90/000729.jpg,1
augment/shear/002374.jpg,21
augment/skew_tb/000070.jpg,29
augment/distort/001453.jpg,27
augment/skew_corner/001547.jpg,47
augment/skew_tb/001808.jpg,28
augment/rotate/000008.jpg,27
augment/skew_tilt/001754.jpg,34
augment/train/002841.jpg,42
augment/shear/003917.jpg,26
augment/zoom/002633.jpg,2
augment/skew_tilt/000026.jpg,27
augment/skew_tb/002672.jpg,22
augment/skew_tilt/000368.jpg,49
augment/rotate90/003195.jpg,33
augment/distort/000438.jpg,4
augment/skew_corner/002437.jpg,25
augment/zoom/002608.jpg,17
augment/skew_tb/001076.jpg,2
augment/shear/000567.jpg,37
augment/skew_tilt/002303.jpg,1
augment/train/000872.jpg,23
augment/distort/000560.jpg,54
augment/train/002831.jpg,60
augment/rotate90/001145.jpg,5
augment/distort/001557.jpg,45
augment/skew_corner/004045.jpg,17
augment/rotate90/000254.jpg,42
augment/rotate90/001330.jpg,25
augment/skew_tilt/003359.jpg,61
augment/distort/001655.jpg,34
augment/zoom/001377.jpg,32
augment/distort/002824.jpg,26
augment/skew_tb/002037.jpg,40
augment/skew_tilt/001717.jpg,25
augment/skew_tilt/003505.jpg,31
augment/rotate/000225.jpg,22
augment/skew_tilt/000121.jpg,25
augment/distort/002840.jpg,24
augment/rotate/001907.jpg,34
augment/skew_tilt/001465.jpg,5
augment/flip/000308.jpg,19
augment/skew_corner/003044.jpg,17
augment/skew_tb/003625.jpg,51
augment/distort/003216.jpg,38
augment/rotate90/000818.jpg,33
augment/skew_tilt/002431.jpg,25
augment/skew_tb/002204.jpg,23
augment/skew_tilt/000556.jpg,25
augment/rotate90/002894.jpg,31
augment/skew_corner/001497.jpg,25
augment/flip/003586.jpg,57
augment/distort/002564.jpg,23
augment/train/003413.jpg,20
augment/rotate/000114.jpg,38
augment/skew_tilt/000810.jpg,28
augment/skew_tb/002375.jpg,30
augment/skew_corner/003974.jpg,54
augment/skew_corner/002069.jpg,23
augment/train/002515.jpg,17
augment/skew_tb/000003.jpg,56
augment/distort/002387.jpg,54
augment/zoom/000172.jpg,29
augment/shear/001313.jpg,61
augment/shear/001956.jpg,24
augment/rotate/001341.jpg,29
augment/skew_tb/003954.jpg,16
augment/skew_corner/000978.jpg,33
augment/skew_corner/001793.jpg,23
augment/distort/002465.jpg,54
augment/skew_tb/003700.jpg,23
augment/skew_tb/002420.jpg,68
augment/train/002893.jpg,39
augment/rotate/000037.jpg,37
augment/skew_corner/003338.jpg,40
augment/zoom/002927.jpg,23
augment/skew_corner/000566.jpg,32
augment/shear/001927.jpg,19
augment/zoom/000854.jpg,16
augment/shear/002939.jpg,29
augment/zoom/003311.jpg,50
augment/shear/002865.jpg,23
augment/rotate/002049.jpg,33
augment/flip/001654.jpg,55
augment/rotate90/001358.jpg,24
augment/distort/001818.jpg,4
augment/flip/002558.jpg,34
augment/train/002051.jpg,15
augment/train/001209.jpg,6
augment/distort/002207.jpg,25
augment/zoom/002592.jpg,55
augment/train/000105.jpg,56
augment/flip/002917.jpg,56
augment/skew_tilt/004001.jpg,9
augment/zoom/001421.jpg,33
augment/flip/002106.jpg,42
augment/skew_corner/002192.jpg,44
augment/skew_tilt/003878.jpg,32
augment/rotate/001645.jpg,22
augment/distort/002915.jpg,36
augment/rotate90/003252.jpg,24
augment/distort/001212.jpg,46
augment/rotate/001920.jpg,55
augment/zoom/002299.jpg,22
augment/flip/003305.jpg,19
augment/skew_tilt/002213.jpg,57
augment/skew_tb/002790.jpg,45
augment/skew_corner/002200.jpg,40
augment/distort/003469.jpg,21
augment/distort/002739.jpg,6
augment/skew_tb/003753.jpg,32
augment/rotate/003505.jpg,31
augment/rotate/000831.jpg,44
augment/rotate/000983.jpg,18
augment/zoom/002304.jpg,30
augment/flip/000903.jpg,21
augment/zoom/003951.jpg,50
augment/skew_corner/003579.jpg,26
augment/rotate/003628.jpg,39
augment/rotate/001870.jpg,39
augment/rotate90/002299.jpg,22
augment/skew_corner/003332.jpg,27
augment/rotate/000744.jpg,31
augment/rotate/001384.jpg,33
augment/rotate/001699.jpg,28
augment/flip/002002.jpg,18
augment/rotate/000186.jpg,17
augment/distort/001948.jpg,29
augment/distort/000750.jpg,10
augment/distort/002081.jpg,48
augment/skew_corner/000375.jpg,32
augment/skew_corner/001993.jpg,48
augment/zoom/004010.jpg,26
augment/zoom/002667.jpg,24
augment/skew_tb/001529.jpg,51
augment/skew_tilt/003795.jpg,16
augment/train/000799.jpg,26
augment/zoom/001549.jpg,25
augment/rotate90/001583.jpg,28
augment/rotate/002149.jpg,35
augment/train/003635.jpg,41
augment/distort/000264.jpg,18
augment/distort/003413.jpg,20
augment/train/002289.jpg,63
augment/shear/003680.jpg,23
augment/skew_corner/003339.jpg,32
augment/flip/003040.jpg,25
augment/rotate/003966.jpg,19
augment/skew_corner/000931.jpg,56
augment/train/000883.jpg,13
augment/skew_tb/001319.jpg,27
augment/rotate90/002090.jpg,22
augment/flip/001408.jpg,50
augment/skew_tb/003736.jpg,38
augment/rotate/002840.jpg,24
augment/flip/003966.jpg,19
augment/distort/002706.jpg,24
augment/skew_tb/000928.jpg,38
augment/rotate90/000219.jpg,19
augment/skew_tb/003886.jpg,51
augment/shear/003391.jpg,61
augment/flip/003636.jpg,31
augment/zoom/000803.jpg,2
augment/train/001412.jpg,14
augment/distort/001418.jpg,43
augment/rotate/002605.jpg,32
augment/skew_tilt/000347.jpg,22
augment/shear/002541.jpg,21
augment/skew_corner/000805.jpg,36
augment/rotate/000655.jpg,26
augment/flip/001238.jpg,26
augment/flip/000814.jpg,31
augment/skew_tb/001073.jpg,26
augment/rotate90/003109.jpg,37
augment/skew_corner/002957.jpg,45
augment/distort/001849.jpg,29
augment/skew_tilt/001253.jpg,19
augment/rotate/003580.jpg,24
augment/skew_corner/002955.jpg,32
augment/skew_tilt/000042.jpg,21
augment/zoom/000040.jpg,1
augment/skew_tilt/000783.jpg,23
augment/distort/002800.jpg,30
augment/rotate/002611.jpg,54
augment/distort/001376.jpg,36
augment/zoom/002839.jpg,41
augment/skew_corner/003572.jpg,25
augment/skew_tilt/000901.jpg,36
augment/rotate90/002937.jpg,29
augment/zoom/003930.jpg,30
augment/rotate90/001709.jpg,31
augment/shear/003926.jpg,20
augment/shear/002917.jpg,56
augment/flip/000314.jpg,26
augment/zoom/002834.jpg,28
augment/train/003471.jpg,68
augment/skew_tb/003754.jpg,8
augment/zoom/000102.jpg,41
augment/shear/000167.jpg,73
augment/rotate/002828.jpg,21
augment/shear/001847.jpg,56
augment/distort/001474.jpg,28
augment/skew_tilt/003101.jpg,34
augment/skew_tb/001518.jpg,29
augment/rotate90/003383.jpg,43
augment/train/003830.jpg,46
augment/skew_tilt/000245.jpg,31
augment/rotate90/002542.jpg,32
augment/rotate90/002223.jpg,29
augment/skew_tilt/003346.jpg,28
augment/distort/001396.jpg,11
augment/skew_tb/002920.jpg,52
augment/train/002680.jpg,37
augment/flip/003428.jpg,19
augment/skew_tilt/003570.jpg,48
augment/zoom/003470.jpg,18
augment/rotate/004082.jpg,35
augment/distort/002550.jpg,6
augment/flip/001811.jpg,33
augment/skew_corner/000798.jpg,19
augment/skew_corner/003546.jpg,25
augment/skew_corner/003987.jpg,20
augment/distort/002044.jpg,22
augment/skew_tilt/002025.jpg,20
augment/skew_corner/000383.jpg,25
augment/rotate/000632.jpg,25
augment/skew_tilt/003238.jpg,26
augment/skew_tb/001717.jpg,25
augment/rotate/003294.jpg,21
augment/skew_tb/000067.jpg,38
augment/rotate/003452.jpg,30
augment/rotate/003952.jpg,28
augment/flip/003092.jpg,25
augment/rotate/000662.jpg,29
augment/rotate90/003033.jpg,29
augment/zoom/002205.jpg,43
augment/shear/002985.jpg,13
augment/flip/002007.jpg,15
augment/train/002561.jpg,44
augment/shear/003866.jpg,45
augment/zoom/002764.jpg,40
augment/shear/002601.jpg,5
augment/zoom/001387.jpg,11
augment/skew_corner/001442.jpg,3
augment/skew_corner/002155.jpg,21
augment/skew_tilt/001700.jpg,39
augment/rotate/004013.jpg,53
augment/shear/003205.jpg,56
augment/skew_corner/000657.jpg,22
augment/zoom/002748.jpg,38
augment/skew_tilt/003326.jpg,35
augment/flip/000045.jpg,26
augment/distort/001760.jpg,7
augment/flip/000985.jpg,45
augment/skew_tilt/001174.jpg,20
augment/rotate90/002236.jpg,58
augment/skew_corner/001089.jpg,39
augment/flip/002943.jpg,51
augment/zoom/000437.jpg,56
augment/skew_tilt/000860.jpg,42
augment/skew_tilt/002285.jpg,47
augment/rotate/000814.jpg,31
augment/flip/002419.jpg,31
augment/skew_tilt/003431.jpg,24
augment/shear/000222.jpg,46
augment/skew_tilt/002171.jpg,32
augment/skew_corner/000130.jpg,5
augment/rotate/000962.jpg,74
augment/distort/000782.jpg,35
augment/rotate/003832.jpg,20
augment/skew_tb/000151.jpg,1
augment/zoom/000889.jpg,5
augment/shear/003722.jpg,27
augment/zoom/001150.jpg,34
augment/skew_tb/001827.jpg,20
augment/distort/001993.jpg,48
augment/zoom/001301.jpg,43
augment/rotate/002175.jpg,25
augment/shear/000069.jpg,24
augment/train/000406.jpg,31
augment/skew_tilt/002323.jpg,27
augment/flip/002693.jpg,11
augment/skew_corner/002455.jpg,76
augment/skew_tb/003907.jpg,29
augment/skew_tb/003402.jpg,46
augment/skew_corner/003136.jpg,27
augment/zoom/001221.jpg,17
augment/flip/001784.jpg,52
augment/flip/003462.jpg,49
augment/skew_tilt/001583.jpg,28
augment/train/000281.jpg,70
augment/zoom/000341.jpg,23
augment/flip/000732.jpg,28
augment/skew_tb/002346.jpg,15
augment/skew_tb/002912.jpg,32
augment/zoom/001779.jpg,21
augment/skew_corner/001796.jpg,30
augment/distort/003426.jpg,35
augment/zoom/001827.jpg,20
augment/skew_tb/003155.jpg,25
augment/rotate90/000428.jpg,20
augment/skew_tilt/003267.jpg,2
augment/shear/002677.jpg,55
augment/zoom/000639.jpg,25
augment/shear/004010.jpg,26
augment/skew_tb/004049.jpg,17
augment/skew_corner/002808.jpg,29
augment/distort/003237.jpg,22
augment/skew_tilt/001757.jpg,30
augment/distort/002922.jpg,20
augment/skew_tilt/002681.jpg,1
augment/skew_tilt/000401.jpg,17
augment/rotate90/004056.jpg,51
augment/train/003850.jpg,21
augment/distort/002581.jpg,47
augment/shear/002858.jpg,30
augment/distort/002972.jpg,33
augment/shear/004109.jpg,55
augment/distort/000926.jpg,23
augment/skew_tilt/000164.jpg,52
augment/skew_tilt/004005.jpg,22
augment/skew_corner/000594.jpg,25
augment/flip/003225.jpg,36
augment/flip/002379.jpg,28
augment/skew_tilt/003811.jpg,27
augment/rotate/000813.jpg,31
augment/zoom/002109.jpg,6
augment/shear/001075.jpg,31
augment/zoom/000300.jpg,27
augment/train/002121.jpg,8
augment/distort/002814.jpg,43
augment/skew_tilt/000661.jpg,27
augment/flip/002207.jpg,25
augment/flip/003251.jpg,17
augment/rotate90/002157.jpg,24
augment/skew_tb/000661.jpg,27
augment/rotate/001204.jpg,51
augment/skew_corner/002369.jpg,36
augment/zoom/001093.jpg,19
augment/distort/001907.jpg,34
augment/skew_tb/002240.jpg,17
augment/rotate/001569.jpg,33
augment/zoom/003453.jpg,20
augment/train/000409.jpg,8
augment/shear/001726.jpg,21
augment/skew_corner/000127.jpg,25
augment/zoom/000985.jpg,45
augment/train/001719.jpg,24
augment/skew_corner/001770.jpg,42
augment/zoom/004104.jpg,10
augment/train/002954.jpg,42
augment/rotate90/003499.jpg,16
augment/zoom/003292.jpg,27
augment/rotate90/003204.jpg,17
augment/skew_corner/002043.jpg,31
augment/flip/002051.jpg,15
augment/rotate90/002989.jpg,34
augment/rotate/002184.jpg,30
augment/train/003720.jpg,19
augment/shear/000684.jpg,6
augment/rotate/000939.jpg,55
augment/flip/000286.jpg,39
augment/flip/001146.jpg,28
augment/rotate/001553.jpg,26
