Image,Predicted_Age1,Predicted_Age2,Predicted_Age3,Predicted_Age4,Predicted_Age5,Predicted_Age6,Predicted_Age7,Predicted_Age8,Average_Age,Target_Age,Sigma,Total_Sigma,Diff,Squared_Diff,Total,Exponent,Error
5613.jpg,23,23,24,22,23,25,23,22,23,23,5,60,0.1244270802,0.0154820983,-0.0002597312,0.9997403025,0.0002596975
5614.jpg,68,63,59,64,68,59,65,71,65,71,6,84,-6.36866045,40.5598359269,-0.4824415411,0.6172744496,0.3827255504
5615.jpg,43,41,40,41,43,44,42,43,42,55,6,67,-12.7751307487,163.2039656473,-2.4285503541,0.0881645474,0.9118354526
5616.jpg,24,24,24,23,23,22,25,24,24,24,2,10,-0.3689684868,0.1361377442,-0.0141464494,0.9859531415,0.0140468585
5617.jpg,30,29,32,28,32,32,30,34,31,25,6,63,5.8480622768,34.1998323938,-0.5417858712,0.5817084678,0.4182915322
5618.jpg,34,35,33,33,34,34,33,32,33,35,6,76,-1.6122717857,2.5994203111,-0.0340251144,0.9665472301,0.0334527699
5619.jpg,27,23,26,28,22,25,25,26,25,27,5,44,-1.8644039631,3.4760021376,-0.0782007936,0.9247787183,0.0752212817
5620.jpg,44,45,44,45,47,45,47,46,46,48,7,89,-2.4478216171,5.9918306693,-0.0674396227,0.9347841587,0.0652158413
5621.jpg,25,25,23,24,23,21,25,23,24,19,2,9,4.7378146648,22.4468877983,-2.4128289414,0.0895615714,0.9104384286
5622.jpg,54,57,56,51,54,54,57,57,55,57,7,100,-1.9146194458,3.6657676222,-0.0367231287,0.9639429866,0.0360570134
5623.jpg,52,56,50,54,51,56,53,57,53,52,5,60,1.3896255493,1.9310591673,-0.0321013909,0.9684083893,0.0315916107
5624.jpg,27,32,31,29,30,32,31,27,30,30,4,33,-0.0530872345,0.0028182545,-8.52906788813916E-005,0.999914713,0.000085287
5625.jpg,28,27,28,26,29,28,29,26,28,30,5,54,-2.4128987789,5.8220805172,-0.1073640212,0.8981986501,0.1018013499
5626.jpg,29,27,28,30,26,28,30,27,28,27,4,33,1.1467208862,1.3149687909,-0.0398174579,0.9609648396,0.0390351604
5627.jpg,39,37,37,38,38,38,38,42,38,33,6,66,5.2404079437,27.4618754168,-0.4178121125,0.6584859381,0.3415140619
5628.jpg,62,72,69,67,71,64,65,69,67,69,4,39,-1.5375094414,2.3639352824,-0.0603053705,0.9414769904,0.0585230096
5629.jpg,21,21,20,20,23,24,20,20,21,19,3,17,2.1835765839,4.7680066976,-0.2877142361,0.7499758776,0.2500241224
5630.jpg,24,32,30,28,28,30,25,29,28,34,6,67,-5.9272282124,35.1320342814,-0.5274663386,0.5900981862,0.4099018138
5631.jpg,36,44,43,38,40,43,44,47,42,43,8,122,-1.2043223381,1.450392294,-0.0119354803,0.988135465,0.011864535
5632.jpg,33,38,37,35,36,39,36,32,36,33,4,31,2.6633868218,7.0936293623,-0.2288723275,0.7954300815,0.2045699185
5633.jpg,32,29,35,36,32,40,34,34,34,34,5,58,-0.0619111061,0.0038329851,-6.64793180633652E-005,0.9999335229,6.64771083624949E-005
5634.jpg,22,24,24,24,21,27,24,21,23,23,4,25,0.4954464436,0.2454671784,-0.0099053936,0.9901435032,0.0098564968
5635.jpg,37,41,31,38,43,40,39,36,38,33,5,55,5.0185418129,25.185761928,-0.4569561014,0.6332081364,0.3667918636
