Image,Age
5613.jpg,22.9312763214
5614.jpg,63.1046981812
5615.jpg,41.4815940857
5616.jpg,23.815038681
5617.jpg,28.7645740509
5618.jpg,34.6600875854
5619.jpg,22.7420024872
5620.jpg,45.3223266602
5621.jpg,24.7714099884
5622.jpg,56.669128418
5623.jpg,55.7853622437
5624.jpg,31.619890213
5625.jpg,26.9623317719
5626.jpg,26.9094791412
5627.jpg,37.3467483521
5628.jpg,72.1925430298
5629.jpg,21.1510868073
5630.jpg,32.0083198547
5631.jpg,43.6008872986
5632.jpg,38.193901062
5633.jpg,28.7107543945
5634.jpg,23.8920021057
5635.jpg,41.2409934998
5636.jpg,32.9779510498
5637.jpg,33.6509475708
5638.jpg,25.1569480896
5639.jpg,46.7541923523
5640.jpg,39.4261054993
5641.jpg,20.9412937164
5642.jpg,35.8108711243
5643.jpg,52.0946083069
5644.jpg,53.3020820618
5645.jpg,45.9961738586
5646.jpg,23.9845695496
5647.jpg,30.1663227081
5648.jpg,40.7405586243
5649.jpg,28.1487636566
5650.jpg,14.2305850983
5651.jpg,25.1359272003
5652.jpg,30.5774803162
5653.jpg,36.212146759
5654.jpg,28.0112400055
5655.jpg,37.4528884888
5656.jpg,27.4633579254
5657.jpg,35.9005203247
5658.jpg,42.3464279175
5659.jpg,36.7681236267
5660.jpg,28.7900390625
5661.jpg,27.1417598724
5662.jpg,37.4413375854
5663.jpg,46.6667785645
5664.jpg,29.4191074371
5665.jpg,27.5533027649
5666.jpg,47.1655883789
5667.jpg,31.4216041565
5668.jpg,37.4373207092
5669.jpg,32.7239341736
5670.jpg,47.8854255676
5671.jpg,13.9800786972
5672.jpg,31.4268321991
5673.jpg,52.8650627136
5674.jpg,26.2895679474
5675.jpg,52.3912467957
5676.jpg,36.2976341248
5677.jpg,59.3389282227
5678.jpg,38.4146499634
5679.jpg,27.8187980652
5680.jpg,33.1412734985
5681.jpg,47.1103897095
5682.jpg,35.1223716736
5683.jpg,23.6452445984
5684.jpg,31.0642948151
5685.jpg,22.9472064972
5686.jpg,29.2926216125
5687.jpg,35.864200592
5688.jpg,28.9170360565
5689.jpg,18.4532470703
5690.jpg,29.9838638306
5691.jpg,34.284992218
5692.jpg,57.3389854431
5693.jpg,45.9627189636
5694.jpg,25.2501106262
5695.jpg,38.4484710693
5696.jpg,26.3478031158
5697.jpg,31.4474124908
5698.jpg,35.646987915
5699.jpg,36.1080932617
5700.jpg,45.3624305725
5701.jpg,32.97473526
5702.jpg,31.8303260803
5703.jpg,30.6404914856
5704.jpg,35.9536399841
5705.jpg,48.1966323853
5706.jpg,31.5261211395
5707.jpg,27.7857017517
5708.jpg,25.5469169617
5709.jpg,50.9162750244
5710.jpg,77.4858322144
