Image,Age5
5613.jpg,23.1633205414
5614.jpg,68.3456268311
5615.jpg,42.7253417969
5616.jpg,22.6722831726
5617.jpg,32.05286026
5618.jpg,33.7835617065
5619.jpg,21.6933326721
5620.jpg,47.3990859985
5621.jpg,22.7795238495
5622.jpg,54.0953330994
5623.jpg,51.4323348999
5624.jpg,30.3069972992
5625.jpg,28.9690971375
5626.jpg,26.3262138367
5627.jpg,38.2793235779
5628.jpg,70.964515686
5629.jpg,23.4575939178
5630.jpg,28.0532779694
5631.jpg,39.9838180542
5632.jpg,35.9398994446
5633.jpg,31.8851299286
5634.jpg,20.9268989563
5635.jpg,42.7773094177
5636.jpg,22.4535865784
5637.jpg,17.4452457428
5638.jpg,26.3620643616
5639.jpg,46.3508377075
5640.jpg,31.218547821
5641.jpg,19.0123023987
5642.jpg,52.5232849121
5643.jpg,53.7103691101
5644.jpg,54.9385910034
5645.jpg,46.562297821
5646.jpg,10.4824237823
5647.jpg,25.6713466644
5648.jpg,39.2777938843
5649.jpg,28.7452049255
5650.jpg,14.1252822876
5651.jpg,27.8439865112
5652.jpg,37.0063247681
5653.jpg,28.2110595703
5654.jpg,26.3302440643
5655.jpg,37.9833297729
5656.jpg,26.89960289
5657.jpg,33.3479499817
5658.jpg,46.2827568054
5659.jpg,32.5869560242
5660.jpg,25.1991386414
5661.jpg,26.2412986755
5662.jpg,35.8536262512
5663.jpg,50.9893302917
5664.jpg,28.1370105743
5665.jpg,26.9301872253
5666.jpg,44.1407966614
5667.jpg,39.0114212036
5668.jpg,45.7509384155
5669.jpg,8.1835813522
5670.jpg,51.7595977783
5671.jpg,8.5071249008
5672.jpg,29.7589511871
5673.jpg,55.6919822693
5674.jpg,27.1285915375
5675.jpg,50.5885925293
5676.jpg,37.9520149231
5677.jpg,52.939414978
5678.jpg,35.8537902832
5679.jpg,33.2972984314
5680.jpg,29.184545517
5681.jpg,46.2825775146
5682.jpg,47.1147003174
5683.jpg,24.6078948975
5684.jpg,31.4000511169
5685.jpg,27.3720912933
5686.jpg,23.0095405579
5687.jpg,38.7939567566
5688.jpg,9.5600748062
5689.jpg,19.4341068268
5690.jpg,32.0563087463
5691.jpg,36.0651473999
5692.jpg,58.3687362671
5693.jpg,40.949432373
5694.jpg,24.6053981781
