Image,Predicted Age1,Predicted Age2,Predicted Age3,Predicted Age4,Predicted Age5,Predicted Age6,Predicted Age7,Predicted Age8,Average,Target_Age,Total_Sigma
5613.jpg,23 ,23 ,24 ,22 ,23 ,22,23 ,22 ,,23,59.6082
5614.jpg,68 ,63 ,59 ,64 ,68 ,63,65 ,71 ,,71,84.072
5615.jpg,43 ,41 ,40 ,41 ,43 ,43,42 ,43 ,,55,67.2022
5616.jpg,24 ,24 ,24 ,23 ,23 ,24,25 ,24 ,,24,9.6235
5617.jpg,30 ,29 ,32 ,28 ,32 ,32,30 ,34 ,,25,63.1243
5618.jpg,34 ,35 ,33 ,33 ,34 ,39,33 ,32 ,,35,76.3971
5619.jpg,27 ,23 ,26 ,28 ,22 ,27,25 ,26 ,,27,44.4497
5620.jpg,44 ,45 ,44 ,45 ,47 ,45,47 ,46 ,,48,88.8473
5621.jpg,25 ,25 ,23 ,24 ,23 ,22,25 ,23 ,,19,9.3031
5622.jpg,54 ,57 ,56 ,51 ,54 ,55,57 ,57 ,,57,99.8218
5623.jpg,52 ,56 ,50 ,54 ,51 ,57,53 ,57 ,,52,60.155
5624.jpg,27 ,32 ,31 ,29 ,30 ,30,31 ,27 ,,30,33.0429
5625.jpg,28 ,27 ,28 ,26 ,29 ,28,29 ,26 ,,30,54.2275
5626.jpg,29 ,27 ,28 ,30 ,26 ,29,30 ,27 ,,27,33.0249
5627.jpg,39 ,37 ,37 ,38 ,38 ,35,38 ,42 ,,33,65.7278
5628.jpg,62 ,72 ,69 ,67 ,71 ,66,65 ,69 ,,69,39.1994
5629.jpg,21 ,21 ,20 ,20 ,23 ,28,20 ,20 ,,19,16.572
5630.jpg,24 ,32 ,30 ,28 ,28 ,31,25 ,29 ,,34,66.6053
5631.jpg,36 ,44 ,43 ,38 ,40 ,40,44 ,47 ,,43,121.5194
5632.jpg,33 ,38 ,37 ,35 ,36 ,38,36 ,32 ,,33,30.9938
5633.jpg,32 ,29 ,35 ,36 ,32 ,36,34 ,34 ,,34,57.6568
5634.jpg,22 ,24 ,24 ,24 ,21 ,29,24 ,21 ,,23,24.7812
5635.jpg,37 ,41 ,31 ,38 ,43 ,36,39 ,36 ,,33,55.1164
5636.jpg,31 ,33 ,37 ,24 ,22 ,25,23 ,20 ,,27,147.6357
5637.jpg,24 ,34 ,9 ,42 ,17 ,20,11 ,37 ,,44,77.9945
5638.jpg,25 ,25 ,27 ,29 ,26 ,28,27 ,28 ,,30,35.4004
5639.jpg,43 ,47 ,51 ,48 ,46 ,34,35 ,38 ,,55,165.3123
5640.jpg,30 ,39 ,27 ,33 ,31 ,37,38 ,35 ,,35,71.1584
5641.jpg,21 ,21 ,27 ,13 ,19 ,17,17 ,19 ,,24,23.9778
5642.jpg,40 ,36 ,44 ,52 ,53 ,48,51 ,46 ,,47,58.3608
5643.jpg,52 ,52 ,46 ,55 ,54 ,53,52 ,53 ,,54,59.7531
5644.jpg,57 ,53 ,58 ,59 ,55 ,59,54 ,56 ,,64,79.2479
5645.jpg,48 ,46 ,49 ,42 ,47 ,46,46 ,47 ,,47,97.9238
5646.jpg,24 ,24 ,12 ,22 ,10 ,11,12 ,10 ,,16,10.5449
5647.jpg,27 ,30 ,26 ,29 ,26 ,26,24 ,37 ,,32,36.5844
5648.jpg,38 ,41 ,44 ,44 ,39 ,34,32 ,39 ,,40,207.741
5649.jpg,26 ,28 ,30 ,31 ,29 ,32,30 ,30 ,,28,30.9014
5650.jpg,16 ,14 ,8 ,12 ,14 ,17,9 ,18 ,,11,7.9153
5651.jpg,25 ,25 ,26 ,27 ,28 ,29,26 ,26 ,,25,15.9445
5652.jpg,29 ,31 ,36 ,34 ,37 ,40,40 ,31 ,,51,92.8705
5653.jpg,30 ,36 ,39 ,28 ,28 ,26,25 ,37 ,,34,49.4349
5654.jpg,26 ,28 ,28 ,24 ,26 ,31,27 ,27 ,,31,37.9127
5655.jpg,40 ,37 ,36 ,39 ,38 ,35,37 ,40 ,,36,42.075
5656.jpg,27 ,27 ,32 ,27 ,27 ,31,26 ,26 ,,31,61.9882
5657.jpg,34 ,36 ,34 ,35 ,33 ,36,35 ,35 ,,39,75.8817
5658.jpg,44 ,42 ,43 ,46 ,46 ,47,51 ,45 ,,52,91.7673
5659.jpg,32 ,37 ,35 ,39 ,33 ,30,32 ,39 ,,38,29.9693
5660.jpg,27 ,29 ,25 ,27 ,25 ,26,27 ,26 ,,26,24.5042
5661.jpg,24 ,27 ,35 ,30 ,26 ,31,25 ,26 ,,19,25.1524
5662.jpg,35 ,37 ,36 ,33 ,36 ,35,37 ,36 ,,46,72.3009
5663.jpg,44 ,47 ,51 ,43 ,51 ,43,43 ,49 ,,50,75.0249
5664.jpg,30 ,29 ,31 ,31 ,28 ,29,35 ,26 ,,23,39.6634
5665.jpg,26 ,28 ,29 ,29 ,27 ,28,23 ,26 ,,30,41.555
5666.jpg,49 ,47 ,48 ,48 ,44 ,47,50 ,50 ,,47,66.2091
5667.jpg,28 ,31 ,40 ,27 ,39 ,23,31 ,27 ,,72,83.5028
5668.jpg,41 ,37 ,30 ,42 ,46 ,53,45 ,42 ,,46,79.5734
5669.jpg,5 ,33 ,5 ,33 ,8 ,38,34 ,29 ,,38,0.9418
5670.jpg,52 ,48 ,52 ,52 ,52 ,49,50 ,52 ,,52,61.8075
5671.jpg,16 ,14 ,21 ,23 ,9 ,23,17 ,15 ,,15,7.9383
5672.jpg,27 ,31 ,30 ,27 ,30 ,34,32 ,31 ,,25,38.2936
5673.jpg,56 ,53 ,56 ,54 ,56 ,55,59 ,57 ,,67,120.4765
5674.jpg,27 ,26 ,25 ,30 ,27 ,18,15 ,28 ,,36,221.286
5675.jpg,53 ,52 ,52 ,48 ,51 ,51,52 ,49 ,,51,104.9178
5676.jpg,38 ,36 ,34 ,38 ,38 ,39,38 ,40 ,,34,28.7825
5677.jpg,57 ,59 ,57 ,59 ,53 ,56,58 ,61 ,,71,139.1351
5678.jpg,36 ,38 ,34 ,36 ,36 ,35,35 ,38 ,,35,30.4723
5679.jpg,27 ,28 ,31 ,26 ,33 ,31,34 ,32 ,,28,66.3774
5680.jpg,35 ,33 ,35 ,33 ,29 ,35,32 ,30 ,,32,49.6787
5681.jpg,43 ,47 ,43 ,45 ,46 ,44,43 ,44 ,,44,87.8685
5682.jpg,26 ,35 ,28 ,50 ,47 ,28,29 ,31 ,,48,191.975
5683.jpg,23 ,24 ,23 ,25 ,25 ,25,24 ,24 ,,28,41.4543
5684.jpg,29 ,31 ,31 ,33 ,31 ,31,31 ,32 ,,31,68.5312
5685.jpg,24 ,23 ,23 ,23 ,27 ,28,24 ,27 ,,26,19.6114
5686.jpg,29 ,29 ,26 ,24 ,23 ,25,25 ,28 ,,26,34.8586
5687.jpg,38 ,36 ,38 ,41 ,39 ,40,39 ,39 ,,34,90.2388
5688.jpg,7 ,29 ,4 ,2 ,10 ,4,5 ,5 ,,6,2.6163
5689.jpg,16 ,18 ,16 ,19 ,19 ,17,21 ,23 ,,26,49.0046
5690.jpg,28 ,30 ,30 ,32 ,32 ,39,38 ,34 ,,27,75.4653
